epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,3.484605,0.719167,0.871813,0.744561,0.835080,0.70228201,0.491597,0.105622,0.105316,0.106865
2,1.177656,0.771382,0.713068,0.802018,0.834761,0.23878047,0.167146,0.101809,0.102078,0.101125
3,1.125784,0.774978,0.798645,0.764386,0.490775,0.21512771,0.150589,0.100447,0.100642,0.100874
4,0.993190,0.747939,0.883236,0.723684,1.536946,0.25713348,0.179993,0.105961,0.105763,0.104834
5,1.075618,0.747018,0.778184,0.765088,0.935504,0.46322250,0.324256,0.107354,0.106798,0.108244
6,0.917158,0.789035,0.703747,0.793070,0.444514,0.13064700,0.091453,0.100411,0.101022,0.100902
7,0.866611,0.821009,0.558906,0.833246,0.518924,0.70381796,0.492673,0.101289,0.100816,0.098089
8,0.833927,0.823268,0.574397,0.836579,0.543321,0.41583097,0.291082,0.116346,0.116089,0.121380
9,0.900528,0.813443,0.666162,0.802456,0.225303,0.17943677,0.125606,0.096009,0.095651,0.098359
10,0.824074,0.812325,0.717128,0.783158,1.029848,0.32092693,0.224649,0.107174,0.107374,0.110632
11,0.738130,0.817632,0.605282,0.810000,0.290981,0.15614480,0.109301,0.103756,0.105126,0.105622
12,0.696240,0.825987,0.580996,0.835088,0.526770,0.18682665,0.130779,0.111756,0.111779,0.112056
13,0.682025,0.840899,0.542522,0.839825,0.603097,0.14077987,0.098546,0.104415,0.107988,0.107933
14,0.675947,0.844825,0.544217,0.841404,0.241737,0.21072742,0.147509,0.110048,0.111622,0.111207
15,0.658346,0.842829,0.544902,0.845439,0.489225,0.13640612,0.095484,0.109871,0.109374,0.110274
16,0.717613,0.833882,0.604859,0.846842,0.594500,0.13270637,0.092894,0.099180,0.099500,0.098210
17,0.721730,0.838904,0.566271,0.844123,0.336587,0.11310633,0.079174,0.111912,0.111290,0.111853
18,0.668987,0.848553,0.529170,0.857456,0.498885,0.14491260,0.101439,0.105790,0.106314,0.105153
19,0.624056,0.858421,0.496510,0.865877,0.076728,0.10606503,0.074246,0.109990,0.110172,0.107886
20,0.635004,0.857303,0.529856,0.849737,0.247466,0.23103486,0.161724,0.106644,0.106176,0.105567
